Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
1	2	2	2	21	93	1.677	1.984	2.805	2.848	3.621	104	228	232	248	288	4	20	16	0.013888889	0.069444444	0.055555556
1	2	2	2	93	141	1.948	2.038	2.757	2.908	3.701	28	120	136	144	192	16	24	8	0.083333333	0.125	0.041666667
1	2	2	2	141	173	1.876	1.664	2.237	2.051	2.729	-24	64	72	88	128	8	24	16	0.0625	0.1875	0.125
1	2	2	2	173	212	1.365	1.383	1.872	2.103	2.771	20	88	112	112	156	24	24	0	0.153846154	0.153846154	0
1	2	3	3	13	79	1.397	1.505	2.44	2.805	3.528	48	192	224	216	264	32	24	-8	0.121212121	0.090909091	-0.03030303
1	2	3	3	79	112	1.789	1.52	2.067	2.423	3.268	-24	36	68	80	132	32	44	12	0.242424242	0.333333333	0.090909091
1	2	5	2	20	93	1.545	2.162	3.006	3.195	3.957	120	208	228	208	292	20	0	-20	0.068493151	0	-0.068493151
1	2	5	5	93	175	1.913	2.168	2.602	2.72	3.377	108	212	236	240	328	24	28	4	0.073170732	0.085365854	0.012195122
1	2	8	5	93	143	2.044	2.05	2.405	2.781	3.479	4	84	136	144	200	52	60	8	0.26	0.3	0.04
1	2	9	2	94	150	1.696	1.76	2.515	2.515	3.331	20	136	136	160	224	0	24	24	0	0.107142857	0.107142857
1	2	9	9	150	205	1.717	1.836	2.428	3.473	4.355	32	112	180	172	220	68	60	-8	0.309090909	0.272727273	-0.036363636
1	2	12	2	141	168	1.825	1.761	2.469	2.681	3.196	-4	56	72	72	108	16	16	0	0.148148148	0.148148148	0
1	2	12	12	168	208	1.618	1.775	2.54	2.564	3.198	36	116	120	124	160	4	8	4	0.025	0.05	0.025
1	2	12	12	209	250	1.777	1.885	2.754	2.92	3.498	20	116	128	120	164	12	4	-8	0.073170732	0.024390244	-0.048780488
1	2	14	12	168	204	1.578	1.615	2.159	2.508	3.31	16	72	100	108	144	28	36	8	0.194444444	0.25	0.055555556
1	2	16	2	173	214	1.365	1.382	2.111	2.451	3.278	12	84	112	120	164	28	36	8	0.170731707	0.219512195	0.048780488
1	2	16	16	213	264	1.56	1.59	2.467	2.677	3.423	4	132	160	172	204	28	40	12	0.137254902	0.196078431	0.058823529
1	2	20	16	213	258	1.657	1.961	2.719	2.882	3.505	36	116	128	136	180	12	20	8	0.066666667	0.111111111	0.044444444
1	2	21	2	211	257	1.348	1.48	2.359	2.491	2.924	20	120	136	136	184	16	16	0	0.086956522	0.086956522	0
1	3	1	1	57	134	1.826	2.011	2.687	2.71	3.318	112	232	224	248	308	-8	16	24	-0.025974026	0.051948052	0.077922078
1	3	1	1	131	180	1.701	1.773	2.221	2.318	2.897	16	120	128	160	196	8	40	32	0.040816327	0.204081633	0.163265306
